PID,Bucket
204690,Low
61445,Med
370106,Low
126238,Low
255717,Low
155956,Low
300039,Med
55029,Low
424746,Low
436339,Low
96807,Low
70328,Low
241575,Low
398698,Low
33712,Low
318082,Low
250769,Low
343722,Low
72779,Low
39550,Low
158050,Med
356658,Low
311520,Low
128003,Low
345699,Low
38948,Low
181852,Low
65179,Low
226700,Low
126163,Low
127289,Med
178133,Low
121613,Low
120089,Med
324579,Low
281146,Low
56187,Low
128120,Low
373043,Low
119922,Low
110580,Low
317510,Low
44603,Low
67606,Low
333700,Low
397656,Low
121800,Low
452663,Med
385855,Med
54077,Low
102090,Low
35539,Low
70780,Med
63760,Low
83312,Low
373970,Low
149342,Low
309398,Med
137234,Low
251853,Med
164330,Med
205060,Low
74376,Low
202999,Low
357229,Med
445309,Low
344256,Low
334403,Low
348996,Med
367319,Low
74532,Low
189153,Low
129609,Low
156226,Low
385036,Low
274625,Med
94440,Low
168334,Low
309946,Low
158468,Low
195157,Low
307688,Med
52189,Low
341718,Med
411727,Low
101744,Low
129228,Low
134210,Med
172260,Low
49429,Low
81393,Med
111550,Low
403026,Low
372749,Low
366239,Low
250424,Low
430233,Low
149901,Low
61643,Med
48251,Low
361340,Med
59543,Low
295548,Med
428464,Med
257621,Med
67932,Low
249713,Med
251540,Low
10991,Med
300154,Low
57985,Low
97195,Low
204438,Low
255381,Med
310666,Low
135918,Low
364735,Low
256688,Low
169373,Low
44325,Low
95457,Low
56311,Low
99425,Low
69501,Low
92774,Low
321730,Med
88220,Low
287090,Med
213246,Low
341291,Low
47587,Low
44317,Low
56405,Low
99397,Low
258437,Med
174866,Low
201179,Low
99178,Low
359711,Low
200187,Low
297998,Med
81686,Low
241711,Low
59738,Low
291563,Low
23551,Med
155995,Low
432134,Low
51121,Low
141208,Low
272698,Med
183482,Med
139553,Low
435088,Low
57744,Low
54210,Low
406753,Med
127523,Low
431843,Low
167364,Low
119065,Low
321240,Med
42754,Low
353522,Med
177340,Low
185678,Low
356216,Low
281834,Low
375903,Med
153428,Low
304639,Med
403917,Med
250953,Low
360867,Low
173711,Low
422257,Med
293796,Low
103658,Low
14667,Low
184011,Med
223654,Low
225751,Low
399642,Med
205886,Low
258334,Low
111756,Med
45048,Med
58924,Low
69984,Low
290246,Low
281535,Low
162329,Low
308270,Med
351422,Med
222412,Med
164275,Low
71277,Med
354180,Med
450615,Med
334859,Med
132137,Low
216573,Low
333097,Low
257451,Med
52742,Med
375217,Low
44148,Low
57917,Low
38784,Low
38243,Low
40820,Low
57650,Low
44163,Low
389408,Low
339893,Low
214111,Low
33278,Low
38395,Med
69245,Low
48483,Low
60562,Low
281946,Med
292923,Low
204505,Low
298054,Low
82860,Low
61761,Low
371140,Low
52765,Low
344780,Low
70434,Low
427740,Med
108058,Med
55058,Low
348566,Med
187063,Low
19811,Low
140525,Low
108335,Med
357250,Low
344072,Low
93741,Med
201014,Low
209074,Med
20626,Low
31553,Low
394809,Low
37133,Low
35402,Low
403924,Med
222436,Med
374157,Low
44257,Low
77746,Med
417077,Low
203534,Med
152459,Low
308705,Med
407257,Low
172586,Low
288027,Low
341157,Low
415034,Low
431836,Low
132613,Low
427355,Med
449315,Low
183988,Low
313182,Low
88136,Low
202799,Med
413763,Low
414813,Low
442830,Med
23545,Low
144619,Low
267426,Low
67748,Low
50032,Low
63584,Low
52277,Low
313587,Low
177536,Low
393005,Low
154722,Med
88413,Med
252290,Med
187259,Low
106926,Low
406226,Med
233982,Med
214425,Low
42064,Med
245896,Low
37842,Low
231074,Med
219245,Low
151511,Low
185372,Med
238277,Low
76125,Med
337413,Low
70686,Low
70317,Med
133442,Low
376407,Low
131510,Med
129678,Low
152504,Low
138725,Low
68226,Low
358064,Low
450812,Low
192925,Med
418270,Low
318252,Low
393322,Low
453963,Med
277769,Low
408159,Low
40321,Low
21778,Low
69414,Low
173338,Low
166165,Low
434055,Med
221885,Low
87693,Low
300302,Low
91659,Low
367447,Med
192996,Low
70732,Low
36883,Low
430392,Low
376302,Low
198258,Low
106820,Med
274590,Med
64545,Low
39716,Low
281573,Med
189061,Low
171086,Med
98803,Low
344980,Low
126907,Low
228062,Low
203105,Low
275119,Low
259307,Low
367737,Low
45023,Low
113382,Med
116716,Low
253109,Low
111647,Low
92296,Low
326574,Low
384739,Low
118082,Low
429773,Low
318946,Low
324227,Low
214003,Low
268339,Low
366780,Low
380121,Med
297077,Med
30347,Low
246772,Med
284240,Low
234601,Low
103672,Low
446639,Low
54767,Low
71181,Med
106191,Med
322175,Med
59591,Low
202351,Low
21774,Low
161434,Low
38693,Low
44368,Low
126111,Med
397068,Low
377404,Low
97190,Low
97497,Low
234547,Low
43006,Low
99732,Low
385277,Low
142904,Low
183825,Low
185480,Low
275006,Med
134663,Low
101487,Low
144699,Low
404934,Low
121626,Low
188711,Low
260668,Low
71214,Low
227797,Med
385438,Low
58027,Low
13617,Med
158473,Low
155465,Low
203826,Low
59123,Low
135648,Low
352920,Low
85162,Low
35139,Low
336825,Low
111672,Low
383982,Low
434867,Low
81750,Low
21122,Low
253845,Med
160465,Med
420001,Med
40441,Low
82174,Med
374059,Low
79164,Low
388280,Low
193361,Low
118574,Low
215281,Low
376723,Low
103126,Low
139179,Low
273966,Med
392137,Low
67496,Low
396018,Low
143125,Med
207178,Med
182729,Low
209260,Med
236976,Med
207699,Med
52529,Low
117116,Low
98755,Low
207322,Med
54258,Low
103891,Med
403115,Low
400817,Low
415851,Low
101769,Low
361041,Low
327959,Low
56337,Low
246442,Low
90397,Low
46367,Low
131388,Med
410695,Med
152588,Low
140231,Low
243218,Med
324146,Med
58526,Low
262313,Low
164793,Low
27805,Low
417078,Low
315546,Med
96131,Low
23686,Low
161396,Low
36209,Low
181877,Low
422206,Low
174867,Low
133794,Med
118209,Low
85482,Low
190167,Low
85384,Low
57126,Low
55429,Low
271994,Low
147122,Low
119582,Low
393671,Med
309290,Low
212519,Low
153860,Low
59101,Low
164730,Low
120582,Low
342283,Med
159449,Low
215160,Low
250245,Low
180310,Low
292190,Low
210001,Low
129631,Low
437309,Med
405183,Low
183962,Low
77519,Low
313368,Low
147337,Low
61147,Low
210991,Low
172081,Low
220879,Low
154789,Low
264639,Low
187817,Med
278695,Med
355050,Low
172579,Low
57725,Low
168927,Low
111149,Low
63314,Low
218867,Med
441425,Low
34211,Low
128644,Low
170881,Low
199134,Med
190276,Low
221481,Low
388953,Med
217343,Low
124156,Med
162485,Low
388976,Med
57996,Low
94495,Low
202683,Low
28279,Low
138370,Low
92812,Med
398290,Low
28131,Low
194030,Low
46682,Med
194715,Low
181621,Low
291678,Low
316069,Low
70138,Low
385441,Low
211308,Med
380496,Low
186090,Low
308371,Low
387340,Low
160666,Low
258366,Low
321847,Med
63602,Low
278660,Med
306917,Low
371702,Med
40548,Low
310238,Med
391278,Low
361817,Low
436816,Low
108870,Low
83131,Med
69966,Low
47235,Low
160537,Med
56793,Low
237370,Low
47980,Low
156491,Low
77114,Low
329484,Low
311629,Med
101607,Low
22717,Low
372883,Low
377335,Med
191827,Low
191990,Med
363878,Low
195976,Low
320434,Low
371491,Med
305395,Low
237875,Low
335606,Low
181557,Low
448135,Med
26927,Low
45898,Med
23675,Low
54242,Med
69278,Low
453572,Med
83835,Low
137475,Low
94955,Low
309821,Low
189985,Low
237096,Low
38394,Low
43590,Med
33680,Low
49846,Low
329555,Low
176583,Low
98226,Low
119211,Med
114770,Low
356921,Low
85557,Low
321434,Low
103803,Low
404125,Low
61755,Low
27182,Low
334655,Med
326003,Low
365958,Low
127421,Low
93167,Med
144099,Low
214691,Med
304919,Low
187687,Med
405129,Med
45270,Low
140482,Low
32105,Low
291241,Low
329834,Low
160159,Low
185821,Low
58034,Low
77907,Low
36055,Low
283232,Low
121470,Low
43406,Low
435323,Low
226551,Low
249408,Low
282525,Med
438537,Low
172237,Med
138715,Low
135149,Low
317586,Low
45400,Low
230947,Low
263180,Med
207232,Low
249854,Med
166503,Low
44323,Low
195657,Med
336741,Med
171686,Low
176811,Low
407996,Low
253268,Low
428922,Med
45095,Low
134904,Low
47479,Med
37362,Low
161789,Med
66751,Low
105208,Low
164644,Low
425616,Med
72183,Low
61603,Low
226246,Low
384282,Low
419213,Low
59120,Low
91981,Low
173630,Low
168629,Low
39035,Low
401857,Med
217282,Med
210283,Low
87894,Low
99763,Low
95147,Low
357676,Med
326422,Low
35732,Low
245414,Low
107720,Low
167879,Low
160356,Low
57621,Low
322062,Low
283885,Low
44623,Low
112289,Low
113198,Low
45757,Low
293024,Med
379195,Low
237732,Low
20620,Low
179835,Low
394974,Med
298677,Med
187142,Low
338428,Low
257513,Low
77650,Low
116551,Low
253782,Med
250309,Low
32144,Low
425265,Med
50534,Low
96636,Low
413125,Low
370500,Low
67083,Low
368677,Low
178068,Med
399401,Low
109998,Med
69901,Low
394227,Med
244120,Low
225240,Low
251695,Low
401901,Med
374594,Low
88269,Low
82145,Med
195558,Low
109036,Low
254598,Low
225798,Low
251696,Med
193076,Low
266505,Low
205067,Low
188703,Low
313640,Med
411130,Low
36349,Low
90148,Low
17930,Low
74199,Low
449111,Low
226415,Low
19475,Low
31740,Low
391445,Low
380374,Low
32111,Low
260946,Low
35483,Low
283152,Med
256016,Low
62544,Low
348800,Med
105507,Low
64390,Low
235332,Low
92309,Low
141191,Med
230689,Low
242982,Low
343053,Low
190031,Low
194917,Low
363861,Low
401513,Med
312041,Low
100723,Med
197578,Low
427472,Med
29084,Low
287165,Med
38160,Low
441962,Med
349152,Low
62130,Low
347977,Low
265999,Low
306592,Med
131155,Low
255503,Low
107070,Med
57104,Low
56730,Low
160978,Low
50852,Med
166012,Low
140189,Med
352262,Low
54083,Low
223025,Low
112424,Low
76535,Med
347557,Med
411278,Low
153497,Low
73943,Med
67881,Low
111320,Low
119334,Low
283158,Med
206471,Med
146950,Med
84647,Low
66002,Low
300513,Med
408702,Low
376107,Med
168946,Low
368551,Low
30704,Low
96211,Low
57205,Med
32276,Low
140535,Low
44661,Low
184522,Low
62235,Med
128920,Low
38500,Low
171941,Low
99760,Low
259316,Low
386427,Low
60903,Low
313149,Low
58533,Low
177367,Low
221337,Low
215212,Low
41926,Low
382214,Low
269504,Med
58649,Low
216487,Low
70243,Low
139773,Low
96084,Low
267326,Low
58715,Low
217068,Med
247046,Low
411976,Med
115727,Med
429573,Low
51635,Low
183483,Low
151816,Low
340444,Low
66333,Low
39031,Low
41450,Low
306696,Med
192672,Med
171482,Med
108669,Med
200999,Med
70837,Low
51814,Low
256368,Med
34497,Low
363093,Low
286590,Med
153426,Low
56570,Low
356244,Med
179178,Med
180449,Low
159470,Low
277210,Low
435029,Low
394754,Low
124785,Low
113379,Med
192072,Low
422612,Low
407654,Low
306280,Low
60508,Low
277224,Low
367568,Low
77886,Low
107796,Low
364196,Med
104801,Med
209379,Med
185159,Low
172801,Low
91775,Low
38117,Low
174869,Low
35937,Low
70268,Low
57795,Low
394108,Low
402475,Med
27569,Med
76080,Low
31717,Low
184308,Low
103725,Low
101767,Low
41556,Low
92760,Med
439593,Low
348264,Low
61148,Low
241246,Med
396063,Low
35712,Low
62767,Med
169273,Med
287492,Low
196301,Med
32858,Low
343798,Low
199531,Low
52580,Low
198509,Low
93647,Low
141421,Low
83982,Low
43527,Low
424811,Med
235416,Med
83345,Low
177667,Med
100028,Low
61547,Low
312230,Low
27250,Low
48401,Med
131987,Low
78112,Low
219395,Low
268044,Low
308976,Low
11567,Med
40438,Low
170873,Low
123374,Med
276677,Low
232153,Low
304008,Med
128696,Med
200034,Low
327930,Low
77086,Low
204988,Low
26697,Low
95854,Low
323439,Low
429664,Low
96376,Low
418246,Low
289601,Low
31735,Med
42100,Low
320405,Med
50355,Low
281034,Low
356915,Low
216268,Low
20146,Low
116724,Med
106011,Low
33795,Low
17612,Low
218327,Med
298871,Med
19378,Low
146113,Low
214793,Low
134514,Low
25927,Low
219043,Med
100713,Low
42788,Low
373400,Low
169098,Low
84737,Med
107201,Low
302617,Low
347501,Low
222356,Med
75845,Low
77242,Low
365162,Low
195282,Low
350221,Low
42800,Low
207804,Low
308012,Low
62629,Low
60034,Low
443671,Low
367842,Low
296687,Low
360528,Med
58411,Low
310358,Low
323814,Low
406623,Low
55477,Low
88603,Med
188817,Low
361943,Med
202646,Low
99446,Low
173671,Low
105486,Low
395933,Low
165926,Low
164688,Low
108772,Low
447168,Low
44725,Low
142671,Low
141616,Med
52504,Low
138743,Low
51487,Low
174777,Low
92635,Low
88974,Med
178047,Low
121467,Med
135160,Low
369184,Low
60970,Low
404743,Low
75274,Low
326614,Low
146989,Low
145493,Low
440447,Low
103473,Low
412814,Low
206692,Low
221874,Low
15327,Low
237647,Low
318507,Low
443940,Med
135729,Low
38941,Low
181827,Low
449248,Low
232759,Med
345141,Med
308175,Low
35593,Low
39268,Low
317564,Med
66788,Low
249903,Med
365941,Low
278077,Low
101855,Low
245186,Low
53371,Low
415204,Low
329144,Low
334471,Low
422619,Low
33020,Low
164547,Med
29203,Low
206064,Low
40960,Low
345092,Low
270464,Low
79093,Low
96589,Low
100305,Low
187614,Low
169771,Low
340401,Low
58249,Low
195814,Low
184234,Low
72875,Low
32150,Low
61630,Low
128764,Med
339985,Low
167354,Med
341038,Med
338824,Med
290297,Med
131501,Low
127935,Low
266802,Low
165496,Low
201363,Low
346854,Med
174399,Low
141001,Med
320600,Med
249794,Low
58347,Med
105914,Low
59492,Low
96397,Low
125465,Low
89046,Med
298878,Low
235324,Low
316908,Low
53792,Low
35770,Low
66007,Low
125327,Low
76607,Low
270634,Low
235147,Low
206909,Low
326672,Low
88140,Low
69287,Low
82956,Med
25042,Low
55306,Med
71555,Med
140495,Med
222507,Low
119923,Med
346482,Low
200100,Low
39586,Low
230746,Low
137911,Low
25696,Med
104184,Med
445115,Low
144122,Low
23277,Low
82094,Low
426592,Low
324523,Low
227115,Low
51767,Low
114908,Low
236398,Med
373378,Low
199243,Low
241752,Low
393159,Low
167224,Low
309286,Low
313859,Med
330574,Low
427141,Med
271553,Low
58224,Low
188774,Low
111176,Low
405876,Low
48783,Low
110023,Low
46592,Low
245590,Low
262719,Low
250481,Low
110903,Low
253600,Low
435925,Low
284591,Med
56133,Low
291574,Low
306050,Med
57979,Low
429465,Low
53713,Low
139572,Low
175406,Low
192662,Med
216796,Low
137769,Low
350836,Med
198115,Low
188321,Low
410007,Low
51793,Low
291724,Low
367749,Low
89255,Low
72990,Low
445493,Low
300185,Low
309727,Med
73633,Low
47672,Low
219925,Low
276478,Low
314549,Low
281108,Low
48304,Low
87992,Low
127501,Low
445297,Low
131122,Low
49573,Low
53273,Low
360476,Low
176428,Low
28547,Low
78467,Low
191382,Low
101817,Low
159288,Low
322964,Low
189129,Low
225849,Med
82485,Med
313654,Low
170368,Low
384383,Low
47522,Low
152341,Low
47209,Low
39160,Low
185053,Low
310574,Low
182632,Low
139857,Low
422562,Low
191771,Low
156268,Low
62781,Low
319654,Low
171147,Low
317395,Med
276828,Low
164779,Low
39053,Low
303132,Med
69699,Med
153196,Low
318929,Low
42615,Low
296204,Med
267438,Low
24863,Low
33862,Low
218695,Low
365336,Low
386851,Med
54953,Low
38480,Low
208344,Med
154813,Low
233755,Med
42280,Low
37024,Low
296592,Low
65983,Low
101708,Low
339804,Med
29815,Med
93767,Low
264705,Med
72130,Low
41008,Low
195204,Low
339845,Low
114749,Low
388115,Low
43147,Low
296986,Low
20497,Low
47684,Low
422945,Low
89575,Low
247718,Low
388441,Low
55143,Low
229408,Med
153499,Low
139753,Low
156235,Low
19174,Med
28118,Low
83396,Low
370224,Med
71365,Low
224424,Med
105343,Low
47304,Low
434888,Low
54626,Low
307864,Low
38852,Med
99638,Low
36762,Low
337810,Med
267472,Med
166465,Low
77331,Low
108861,Low
249551,Low
39656,Low
401922,Med
131873,Med
304311,Low
113322,Low
355371,Low
156341,Low
33207,Low
30000,Low
245827,Low
37726,Med
35213,Low
120166,Low
399888,Med
383201,Med
354841,Med
172849,Low
408003,Low
202221,Low
324416,Med
76609,Low
297729,Low
26835,Low
187385,Low
194409,Low
61394,Low
370386,Low
170029,Low
94305,Low
168158,Low
160363,Low
65652,Low
340230,Med
123155,Low
121620,Med
253236,Low
360033,Med
103934,Low
216249,Low
203099,Low
15219,Low
103781,Low
109536,Low
189276,Low
129728,Med
344768,Low
101847,Low
214978,Med
45188,Low
194641,Med
45354,Low
393099,Low
140607,Low
287191,Low
27315,Low
159354,Low
290482,Low
52879,Low
93733,Low
384639,Med
409965,Low
204675,Low
251537,Low
431604,Low
299971,Med
354985,Low
426616,Low
356176,Med
302192,Low
169338,Med
299180,Low
131914,Med
366351,Low
143345,Low
90137,Low
75439,Low
373407,Low
54809,Med
55344,Low
142458,Low
231693,Low
388968,Med
63556,Low
96852,Low
149757,Low
169929,Low
131387,Low
222479,Low
46998,Low
101809,Low
169741,Med
235643,Low
45658,Low
95392,Low
434953,Low
291117,Med
100548,Low
42321,Low
206253,Low
310246,Low
106970,Low
330556,Med
181521,Low
289248,Med
359695,Low
123278,Low
74115,Low
47241,Low
250257,Low
234113,Low
24739,Low
119781,Low
160030,Low
202565,Low
270615,Med
185881,Low
299925,Low
285556,Med
64275,Low
415916,Low
238570,Med
99094,Low
140661,Low
48146,Low
251536,Low
73574,Low
48305,Med
195145,Low
211810,Low
162439,Low
76840,Low
186611,Low
207576,Low
19846,Low
210318,Low
412070,Med
309274,Low
451597,Med
42497,Med
356010,Low
278239,Med
49312,Low
114464,Low
56769,Med
374745,Med
317503,Low
177566,Low
123326,Med
181625,Low
271074,Low
388773,Low
199710,Low
127821,Low
143386,Med
152547,Low
375766,Low
433711,Low
226385,Low
40473,Low
139253,Med
47634,Low
43942,Low
56600,Low
287546,Med
368241,Low
323008,Low
46879,Low
63703,Low
33240,Low
348725,Med
311197,Med
271219,Low
34425,Low
238365,Med
413531,Med
32402,Low
131018,Low
210210,Low
95838,Low
34216,Low
46192,Low
424476,Low
251140,Low
91446,Low
175340,Low
355299,Med
44312,Low
90067,Med
46914,Low
310319,Med
445601,Low
35810,Low
146922,Low
307355,Low
38568,Low
417509,Med
108496,Low
131871,Low
169849,Med
348200,Low
271055,Low
82806,Med
95904,Low
411696,Med
28702,Low
355241,Med
35697,Low
86852,Low
202421,Low
24436,Low
68680,Med
284751,Low
182568,Low
49972,Low
290880,Med
416684,Med
195791,Low
173689,Low
115297,Med
113706,Med
99436,Low
121979,Low
166018,Low
77563,Low
151111,Low
373241,Low
109190,Med
43470,Low
183132,Low
63330,Low
273306,Low
32714,Med
301829,Med
159450,Med
63740,Low
117563,Low
293368,Low
56702,Low
186735,Low
283881,Med
158086,Low
365908,Low
96098,Low
406766,Low
283835,Low
291415,Low
309967,Low
347549,Low
313305,Low
43554,Low
95901,Med
165120,Low
312383,Low
321302,Low
237859,Low
248162,Med
183588,Low
140429,Low
433583,Low
149510,Low
259185,Low
153687,Low
186233,Low
274394,Low
65104,Low
208547,Low
48870,Med
314351,Low
318109,Low
194491,Low
36809,Low
82710,Low
352073,Low
127002,Low
115145,Low
65512,Low
304104,Low
196050,Med
29003,Low
110016,Low
54146,Low
32874,Low
83157,Low
220348,Low
131446,Low
342265,Med
46381,Low
141618,Low
50200,Low
32145,Low
20990,Low
36504,Low
285420,Med
40848,Low
298031,Low
371485,Med
66161,Low
215938,Med
343073,Low
141189,Low
160013,Low
115372,Low
353279,Low
323051,Med
232886,Low
42707,Low
418399,Low
336389,Low
82530,Low
58778,Low
127277,Med
38147,Low
188847,Med
39063,Med
205768,Low
255914,Low
295374,Low
343380,Med
379657,Low
110419,Low
153360,Low
190364,Low
81547,Low
63267,Low
276772,Med
217811,Med
405389,Med
123582,Low
428809,Med
46398,Low
113757,Low
81885,Med
36777,Low
292617,Low
247494,Med
249214,Low
405753,Low
345739,Med
399490,Low
214018,Low
281941,Low
42038,Low
283320,Low
98992,Med
414563,Low
387087,Low
327225,Med
285424,Low
55146,Low
41294,Low
413554,Low
338791,Low
38169,Low
52778,Med
219856,Med
21743,Low
360578,Low
211055,Low
222191,Med
332922,Low
105000,Low
208176,Low
148039,Low
128877,Low
442732,Med
281289,Med
334810,Low
23917,Low
165024,Med
105434,Low
36398,Low
350054,Low
61114,Low
259347,Low
110709,Med
181880,Low
73030,Low
113018,Med
127314,Low
46781,Low
193071,Med
60325,Low
50922,Low
54524,Low
314307,Med
183152,Low
156832,Low
62860,Low
308703,Low
381495,Low
26285,Low
316213,Med
274748,Low
407755,Low
271982,Low
161176,Med
112597,Low
25543,Low
188955,Low
84944,Low
299818,Med
14304,Med
306115,Low
313358,Low
208619,Med
164860,Low
120926,Med
254485,Low
100772,Low
387592,Low
115630,Low
24588,Low
423602,Low
221643,Med
103251,Med
117503,Low
77404,Low
310784,Low
277147,Low
40093,Low
121957,Low
34161,Low
386261,Low
71325,Low
318289,Low
277776,Low
347356,Med
112644,Low
408246,Med
57892,Low
235179,Low
114540,Low
398983,Low
164645,Low
419871,Low
218673,Med
49597,Low
272304,Med
36008,Low
28245,Low
152570,Med
153900,Low
306285,Low
334172,Low
173202,Low
350020,Med
282341,Med
408691,Low
38404,Med
248282,Low
51101,Low
86658,Low
411983,Med
161185,Low
50439,Low
353413,Low
130675,Low
188046,Med
433429,Med
89633,Low
107281,Low
321994,Low
154224,Med
401722,Low
257485,Low
260667,Low
55955,Low
42915,Low
56165,Low
325850,Low
71293,Med
69496,Low
405393,Low
40220,Low
182277,Med
193306,Low
192694,Low
380547,Low
103489,Low
82980,Med
72356,Low
102369,Low
48202,Low
348987,Low
259427,Med
68520,Low
41765,Low
38723,Low
385551,Low
142915,Med
112256,Low
431455,Low
109440,Low
156129,Med
354782,Med
439517,Low
56061,Med
53325,Low
166395,Low
26533,Low
228826,Low
153226,Low
438558,Low
413498,Low
36797,Low
233979,Low
27631,Low
77199,Low
282186,Low
277954,Low
380970,Med
145667,Low
384041,Low
448174,Med
318483,Low
203041,Low
55002,Low
194651,Low
191455,Low
21064,Low
428133,Low
59702,Low
325165,Low
282265,Low
56423,Med
368608,Med
128699,Low
259214,Low
177727,Med
274984,Med
33470,Low
288055,Med
93542,Med
98498,Low
421429,Low
162092,Low
340392,Med
25590,Low
195519,Med
366662,Low
365594,Low
55509,Low
375528,Med
112978,Low
231748,Med
117487,Low
35706,Low
113949,Low
227996,Low
63626,Low
66928,Med
432061,Low
60348,Low
92146,Low
101831,Low
254774,Low
313171,Low
125081,Low
42895,Low
182985,Low
250355,Low
109208,Low
214361,Low
35799,Low
348775,Low
59530,Low
25944,Med
96449,Low
374841,Low
28661,Low
373304,Low
141151,Low
300492,Low
230428,Med
280491,Low
229132,Low
223829,Low
331776,Low
130721,Low
165758,Low
167858,Low
175238,Low
78951,Low
326869,Low
171935,Low
66485,Med
26447,Low
72564,Low
62498,Low
344786,Low
141358,Low
206128,Med
305479,Low
255116,Low
430698,Low
241215,Low
278263,Med
45700,Low
43068,Low
358982,Low
72406,Med
419505,Low
378730,Med
44293,Low
53897,Low
102139,Med
293000,Low
151584,Low
267146,Low
64629,Med
41929,Low
134461,Low
220400,Low
24354,Low
207999,Low
57717,Low
384535,Low
420892,Low
287734,Low
28978,Low
29648,Low
386541,Low
337447,Low
53926,Low
48277,Med
77764,Med
26313,Low
69388,Low
49856,Med
130659,Low
128657,Low
244510,Med
100661,Low
46073,Low
411144,Med
138441,Low
47120,Med
86415,Low
49809,Low
257386,Low
109165,Med
226538,Low
362871,Low
259801,Low
102116,Med
231937,Low
195964,Low
71064,Low
300678,Med
214297,Low
109642,Low
40589,Low
182245,Low
414411,Low
196788,Low
300490,Med
323525,Med
366159,Low
36438,Low
31963,Low
153298,Low
40048,Low
379758,Med
155344,Low
206934,Low
45334,Low
100574,Low
107378,Low
148674,Low
155228,Low
35438,Low
162143,Low
222724,Low
308735,Low
82814,Low
423725,Low
64265,Med
92190,Low
73389,Low
297020,Med
59073,Low
45636,Low
96037,Low
75169,Low
86690,Low
221667,Low
367066,Low
312525,Low
75432,Low
172635,Med
334037,Low
48679,Med
94595,Low
41185,Low
164219,Low
343532,Low
168260,Low
149383,Med
431862,Low
192507,Low
96108,Med
135645,Med
352096,Low
338808,Low
57347,Low
120214,Low
56644,Low
128603,Low
394111,Low
82963,Low
33013,Low
259408,Low
195590,Low
415510,Med
64983,Low
186677,Low
389054,Low
72185,Low
162380,Low
55515,Low
354729,Low
70368,Low
141632,Med
191876,Low
50059,Low
68946,Low
365714,Med
32516,Low
25020,Low
339012,Med
154763,Low
36216,Low
32944,Low
63316,Low
48572,Low
31278,Med
345821,Low
124051,Low
241635,Low
41885,Low
67953,Low
24323,Low
96102,Low
45915,Low
77993,Med
94898,Low
250111,Low
29342,Low
76324,Low
181643,Low
256936,Low
79084,Low
46454,Low
210532,Low
68688,Low
195566,Low
370919,Low
56667,Low
23414,Med
329133,Low
197339,Low
214447,Low
111405,Low
33748,Low
180252,Low
119904,Med
399768,Low
37198,Med
370363,Low
274995,Low
214414,Low
181306,Med
174332,Low
409853,Med
55075,Low
370032,Low
377281,Low
66351,Low
402743,Low
332527,Low
290994,Med
272452,Low
408907,Low
72157,Low
53796,Low
200741,Low
46850,Low
30765,Low
35996,Low
130089,Low
36503,Low
291816,Med
127354,Med
58921,Low
220969,Med
63062,Low
86189,Low
392010,Low
20542,Low
